segment# 	 segment 	 word 	 word_start 	 word_end 	 word_duration 	 word_confidence 	 file 
1 	 Next passage. 	 Next 	 0.16 	 0.46 	 0.30000000000000004 	 0.623 	  Cue 
1 	 Next passage. 	 passage. 	 0.46 	 0.96 	 0.49999999999999994 	 0.777 	  Cue 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 Not 	 1 	 1.32 	 0.32000000000000006 	 0.524 	  Main1 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 so 	 1.32 	 1.58 	 0.26 	 0.997 	  Main1 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 fast. 	 1.58 	 2 	 0.41999999999999993 	 0.996 	  Main1 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 You're 	 2.42 	 2.6 	 0.18000000000000016 	 0.659 	  Main1 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 driving 	 2.6 	 2.96 	 0.3599999999999999 	 0.996 	  Main1 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 too 	 2.96 	 3.38 	 0.41999999999999993 	 0.997 	  Main1 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 fast." 	 3.38 	 4.28 	 0.9000000000000004 	 0.999 	  Main1 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 said 	 4.28 	 4.66 	 0.3799999999999999 	 0.552 	  Main1 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 Mrs. 	 4.66 	 4.94 	 0.28000000000000025 	 0.789 	  Main1 
1 	 Not so fast. You're driving too fast." said Mrs. Smith. 	 Smith. 	 5.08 	 5.34 	 0.2599999999999998 	 0.961 	  Main1 
3 	 What are you driving so fast for? 	 What 	 5.76 	 5.9 	 0.14000000000000057 	 0.923 	  Main1 
3 	 What are you driving so fast for? 	 are 	 5.9 	 6.02 	 0.11999999999999922 	 0.932 	  Main1 
3 	 What are you driving so fast for? 	 you 	 6.02 	 6.14 	 0.1200000000000001 	 0.997 	  Main1 
3 	 What are you driving so fast for? 	 driving 	 6.14 	 6.56 	 0.41999999999999993 	 0.998 	  Main1 
3 	 What are you driving so fast for? 	 so 	 6.56 	 6.88 	 0.3200000000000003 	 0.994 	  Main1 
3 	 What are you driving so fast for? 	 fast 	 6.88 	 7.26 	 0.3799999999999999 	 0.999 	  Main1 
3 	 What are you driving so fast for? 	 for? 	 7.26 	 7.58 	 0.3200000000000003 	 0.989 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 Hmm. 	 9.48 	 9.9 	 0.41999999999999993 	 0.585 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 said 	 10.54 	 10.8 	 0.26000000000000156 	 0.379 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 Michael 	 10.8 	 11.14 	 0.33999999999999986 	 0.976 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 Smith. 	 11.14 	 11.64 	 0.5 	 0.953 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 He 	 12.34 	 12.54 	 0.1999999999999993 	 0.529 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 looked 	 12.54 	 12.82 	 0.28000000000000114 	 0.997 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 at 	 12.82 	 12.94 	 0.11999999999999922 	 0.995 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 his 	 12.94 	 13.18 	 0.2400000000000002 	 0.978 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 wife 	 13.18 	 13.66 	 0.4800000000000004 	 0.983 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 in 	 13.66 	 14.04 	 0.379999999999999 	 0.871 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 the 	 14.04 	 14.22 	 0.1800000000000015 	 0.962 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 seat 	 14.22 	 14.46 	 0.2400000000000002 	 0.952 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 beside 	 14.46 	 14.88 	 0.41999999999999993 	 0.992 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 him 	 14.88 	 15.22 	 0.33999999999999986 	 0.974 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 with 	 15.22 	 15.5 	 0.27999999999999936 	 0.877 	  Main1 
5 	 Hmm. said Michael Smith. He looked at his wife in the seat beside him with shock 	 shock 	 15.5 	 15.78 	 0.27999999999999936 	 0.528 	  Main1 
6 	 to astonishment. She seemed grossly unfamiliar, like a strange woman who had yelled at him in 	 to 	 15.78 	 16.04 	 0.2599999999999998 	 0.497 	  Main1 
6 	 to astonishment. She seemed grossly unfamiliar, like a strange woman who had yelled at him in 	 astonishment. 	 16.04 	 16.64 	 0.6000000000000014 	 0.57 	  Main1 
6 	 to astonishment. She seemed grossly unfamiliar, like a strange woman who had yelled at him in 	 She 	 17.1 	 17.3 	 0.1999999999999993 	 0.974 	  Main1 
6 	 to astonishment. She seemed grossly unfamiliar, like a strange woman who had yelled at him in 	 seemed 	 17.3 	 17.6 	 0.3000000000000007 	 0.99 	  Main1 
6 	 to astonishment. She seemed grossly unfamiliar, like a strange woman who had yelled at him in 	 grossly 	 17.6 	 18.24 	 0.639999999999997 	 0.979 	  Main1 
6 	 to astonishment. She seemed grossly unfamiliar, like a strange woman who had yelled at him in 	 unfamiliar, 	 18.24 	 18.86 	 0.620000000000001 	 0.987 	  Main1 
6 	 to astonishment. She seemed grossly unfamiliar, like a strange woman who had yelled at him in 	 like 	 19.52 	 19.68 	 0.16000000000000014 	 0.957 	  Main1 
6 	 to astonishment. She seemed grossly unfamiliar, like a strange woman who had yelled at him in 	 a 	 19.68 	 19.96 	 0.28000000000000114 	 0.986 	  Main1 
