word 	 start 	 end 	 duration 	 confidence 	 file 
Next 	 0.16 	 0.46 	 0.30000000000000004 	 0.623 	  Cue 
passage. 	 0.46 	 0.96 	 0.49999999999999994 	 0.777 	  Cue 
Not 	 1 	 1.32 	 0.32000000000000006 	 0.524 	  Main1 
so 	 1.32 	 1.58 	 0.26 	 0.997 	  Main1 
fast. 	 1.58 	 2 	 0.41999999999999993 	 0.996 	  Main1 
You're 	 2.42 	 2.6 	 0.18000000000000016 	 0.659 	  Main1 
driving 	 2.6 	 2.96 	 0.3599999999999999 	 0.996 	  Main1 
too 	 2.96 	 3.38 	 0.41999999999999993 	 0.997 	  Main1 
fast." 	 3.38 	 4.28 	 0.9000000000000004 	 0.999 	  Main1 
said 	 4.28 	 4.66 	 0.3799999999999999 	 0.552 	  Main1 
Mrs. 	 4.66 	 4.94 	 0.28000000000000025 	 0.789 	  Main1 
Smith. 	 5.08 	 5.34 	 0.2599999999999998 	 0.961 	  Main1 
What 	 5.76 	 5.9 	 0.14000000000000057 	 0.923 	  Main1 
are 	 5.9 	 6.02 	 0.11999999999999922 	 0.932 	  Main1 
you 	 6.02 	 6.14 	 0.1200000000000001 	 0.997 	  Main1 
driving 	 6.14 	 6.56 	 0.41999999999999993 	 0.998 	  Main1 
so 	 6.56 	 6.88 	 0.3200000000000003 	 0.994 	  Main1 
fast 	 6.88 	 7.26 	 0.3799999999999999 	 0.999 	  Main1 
for? 	 7.26 	 7.58 	 0.3200000000000003 	 0.989 	  Main1 
Hmm. 	 9.48 	 9.9 	 0.41999999999999993 	 0.585 	  Main1 
said 	 10.54 	 10.8 	 0.26000000000000156 	 0.379 	  Main1 
Michael 	 10.8 	 11.14 	 0.33999999999999986 	 0.976 	  Main1 
Smith. 	 11.14 	 11.64 	 0.5 	 0.953 	  Main1 
He 	 12.34 	 12.54 	 0.1999999999999993 	 0.529 	  Main1 
looked 	 12.54 	 12.82 	 0.28000000000000114 	 0.997 	  Main1 
at 	 12.82 	 12.94 	 0.11999999999999922 	 0.995 	  Main1 
his 	 12.94 	 13.18 	 0.2400000000000002 	 0.978 	  Main1 
wife 	 13.18 	 13.66 	 0.4800000000000004 	 0.983 	  Main1 
in 	 13.66 	 14.04 	 0.379999999999999 	 0.871 	  Main1 
the 	 14.04 	 14.22 	 0.1800000000000015 	 0.962 	  Main1 
seat 	 14.22 	 14.46 	 0.2400000000000002 	 0.952 	  Main1 
beside 	 14.46 	 14.88 	 0.41999999999999993 	 0.992 	  Main1 
him 	 14.88 	 15.22 	 0.33999999999999986 	 0.974 	  Main1 
with 	 15.22 	 15.5 	 0.27999999999999936 	 0.877 	  Main1 
shock 	 15.5 	 15.78 	 0.27999999999999936 	 0.528 	  Main1 
to 	 15.78 	 16.04 	 0.2599999999999998 	 0.497 	  Main1 
astonishment. 	 16.04 	 16.64 	 0.6000000000000014 	 0.57 	  Main1 
She 	 17.1 	 17.3 	 0.1999999999999993 	 0.974 	  Main1 
seemed 	 17.3 	 17.6 	 0.3000000000000007 	 0.99 	  Main1 
grossly 	 17.6 	 18.24 	 0.639999999999997 	 0.979 	  Main1 
unfamiliar, 	 18.24 	 18.86 	 0.620000000000001 	 0.987 	  Main1 
like 	 19.52 	 19.68 	 0.16000000000000014 	 0.957 	  Main1 
a 	 19.68 	 19.96 	 0.28000000000000114 	 0.986 	  Main1 
strange 	 19.96 	 20.24 	 0.2799999999999976 	 0.992 	  Main1 
woman 	 20.24 	 20.6 	 0.360000000000003 	 0.994 	  Main1 
who 	 20.6 	 20.82 	 0.21999999999999886 	 0.966 	  Main1 
had 	 20.82 	 21.02 	 0.1999999999999993 	 0.983 	  Main1 
yelled 	 21.02 	 21.28 	 0.26000000000000156 	 0.892 	  Main1 
at 	 21.28 	 21.44 	 0.16000000000000014 	 0.942 	  Main1 
him 	 21.44 	 21.66 	 0.21999999999999886 	 0.847 	  Main1 
in 	 21.66 	 21.78 	 0.120000000000001 	 0.557 	  Main1 
a 	 21.78 	 21.98 	 0.1999999999999993 	 0.761 	  Main1 
crowd. 	 21.98 	 22.32 	 0.33999999999999986 	 0.993 	  Main1 
You 	 22.82 	 22.96 	 0.14000000000000057 	 0.84 	  Main1 
were 	 22.96 	 23.14 	 0.17999999999999972 	 0.988 	  Main1 
up 	 23.14 	 23.38 	 0.23999999999999844 	 0.998 	  Main1 
to 	 23.38 	 23.5 	 0.120000000000001 	 0.995 	  Main1 
55. 	 23.5 	 24.06 	 0.5599999999999987 	 0.866 	  Main1 
She 	 24.72 	 24.9 	 0.17999999999999972 	 0.932 	  Main1 
said, 	 24.9 	 25.38 	 0.4800000000000004 	 0.998 	  Main1 
you 	 25.66 	 25.78 	 0.120000000000001 	 0.485 	  Main1 
know 	 25.78 	 25.96 	 0.17999999999999972 	 0.994 	  Main1 
I 	 25.96 	 26.08 	 0.11999999999999744 	 0.652 	  Main1 
don't 	 26.08 	 26.3 	 0.22000000000000242 	 0.986 	  Main1 
like 	 26.3 	 26.54 	 0.23999999999999844 	 0.985 	  Main1 
to 	 26.54 	 26.64 	 0.10000000000000142 	 0.992 	  Main1 
go 	 26.64 	 26.84 	 0.1999999999999993 	 0.997 	  Main1 
more 	 26.84 	 27.06 	 0.21999999999999886 	 0.958 	  Main1 
than 	 27.06 	 27.3 	 0.240000000000002 	 0.995 	  Main1 
40. 	 27.3 	 27.68 	 0.379999999999999 	 0.959 	  Main1 
You 	 28.16 	 28.32 	 0.16000000000000014 	 0.69 	  Main1 
were 	 28.32 	 28.45 	 0.129999999999999 	 0.572 	  Main1 
up 	 28.45 	 28.76 	 0.3100000000000023 	 0.997 	  Main1 
to 	 28.76 	 28.9 	 0.13999999999999702 	 0.996 	  Main1 
55. 	 28.9 	 29.5 	 0.6000000000000014 	 0.994 	  Main1 
Michael 	 30.18 	 30.46 	 0.28000000000000114 	 0.987 	  Main1 
Smith 	 30.46 	 30.86 	 0.3999999999999986 	 0.998 	  Main1 
drove 	 30.86 	 31.22 	 0.35999999999999943 	 0.998 	  Main1 
on 	 31.22 	 31.48 	 0.26000000000000156 	 0.96 	  Main1 
toward 	 31.48 	 31.7 	 0.21999999999999886 	 0.967 	  Main1 
waterbarion 	 31.7 	 32.38 	 0.6800000000000033 	 0.608 	  Main1 
silence. 	 32.38 	 32.92 	 0.5399999999999991 	 0.896 	  Main1 
The 	 33.28 	 33.64 	 0.35999999999999943 	 0.907 	  Main1 
roaring 	 33.64 	 33.98 	 0.3399999999999963 	 0.941 	  Main1 
of 	 33.98 	 34.18 	 0.20000000000000284 	 0.996 	  Main1 
the 	 34.18 	 34.34 	 0.1600000000000037 	 0.997 	  Main1 
S&202 	 34.34 	 35.12 	 0.779999999999994 	 0.698 	  Main1 
through 	 35.12 	 35.34 	 0.22000000000000597 	 0.792 	  Main1 
the 	 35.34 	 35.5 	 0.1599999999999966 	 0.631 	  Main1 
worst 	 35.5 	 35.76 	 0.259999999999998 	 0.474 	  Main1 
storm 	 35.86 	 36.16 	 0.29999999999999716 	 0.998 	  Main1 
in 	 36.16 	 36.4 	 0.240000000000002 	 0.986 	  Main1 
20 	 36.4 	 36.68 	 0.28000000000000114 	 0.867 	  Main1 
years 	 36.68 	 36.92 	 0.240000000000002 	 0.992 	  Main1 
of 	 36.92 	 37.12 	 0.19999999999999574 	 0.999 	  Main1 
navy 	 37.12 	 37.36 	 0.240000000000002 	 0.742 	  Main1 
flying 	 37.36 	 37.82 	 0.46000000000000085 	 0.989 	  Main1 
fading 	 37.82 	 38.22 	 0.3999999999999986 	 0.766 	  Main1 
in 	 38.22 	 38.4 	 0.17999999999999972 	 0.994 	  Main1 
the 	 38.4 	 38.46 	 0.060000000000002274 	 0.998 	  Main1 
remote, 	 38.46 	 39 	 0.5399999999999991 	 0.984 	  Main1 
intimate 	 39.3 	 39.68 	 0.38000000000000256 	 0.992 	  Main1 
airways 	 39.68 	 40.16 	 0.4799999999999969 	 0.932 	  Main1 
of 	 40.16 	 40.32 	 0.1600000000000037 	 0.996 	  Main1 
his 	 40.32 	 40.5 	 0.17999999999999972 	 0.991 	  Main1 
mind. 	 40.5 	 40.69 	 0.18999999999999773 	 0.996 	  Main1 
Your 	 40.69 	 41.5 	 0.8100000000000023 	 0.956 	  Main1 
10-stop 	 41.5 	 42 	 0.5 	 0.438 	  Main1 
again," 	 42 	 43.14 	 1.1400000000000006 	 0.987 	  Main1 
said 	 43.14 	 43.26 	 0.11999999999999744 	 0.996 	  Main1 
Mrs. 	 43.26 	 43.6 	 0.3400000000000034 	 0.98 	  Main1 
Smith. 	 43.7 	 44.08 	 0.37999999999999545 	 0.999 	  Main1 
It's 	 44.12 	 44.64 	 0.5200000000000031 	 0.902 	  Main1 
one 	 44.64 	 44.8 	 0.1599999999999966 	 0.995 	  Main1 
of 	 44.8 	 44.98 	 0.17999999999999972 	 0.999 	  Main1 
your 	 44.98 	 45.14 	 0.1600000000000037 	 0.994 	  Main1 
days. 	 45.14 	 45.54 	 0.3999999999999986 	 0.995 	  Main1 
I 	 45.98 	 46.18 	 0.20000000000000284 	 0.678 	  Main1 
wish 	 46.18 	 46.42 	 0.240000000000002 	 0.971 	  Main1 
you'd 	 46.42 	 46.72 	 0.29999999999999716 	 0.984 	  Main1 
let 	 46.72 	 46.86 	 0.14000000000000057 	 0.987 	  Main1 
Dr. 	 46.86 	 47.18 	 0.3200000000000003 	 0.805 	  Main1 
Rensha 	 47.26 	 47.7 	 0.44000000000000483 	 0.613 	  Main1 
look 	 47.7 	 47.94 	 0.23999999999999488 	 0.474 	  Main1 
you 	 47.94 	 48.12 	 0.17999999999999972 	 0.675 	  Main1 
over. 	 48.12 	 48.4 	 0.28000000000000114 	 0.638 	  Main1 
Michael 	 49.48 	 49.84 	 0.36000000000000654 	 0.995 	  Main1 
Smith 	 49.84 	 50.24 	 0.3999999999999986 	 0.998 	  Main1 
stopped 	 50.24 	 50.62 	 0.37999999999999545 	 0.964 	  Main1 
the 	 50.62 	 50.86 	 0.240000000000002 	 0.999 	  Main1 
car 	 50.86 	 51.14 	 0.28000000000000114 	 0.999 	  Main1 
in 	 51.14 	 51.4 	 0.259999999999998 	 0.981 	  Main1 
front 	 51.4 	 51.54 	 0.14000000000000057 	 1.0 	  Main1 
of 	 51.54 	 51.64 	 0.10000000000000142 	 0.999 	  Main1 
the 	 51.64 	 51.76 	 0.11999999999999744 	 0.999 	  Main1 
building 	 51.76 	 52.08 	 0.3200000000000003 	 0.997 	  Main1 
where 	 52.08 	 52.34 	 0.2600000000000051 	 0.938 	  Main1 
his 	 52.34 	 52.56 	 0.21999999999999886 	 0.987 	  Main1 
wife 	 52.56 	 52.88 	 0.3200000000000003 	 0.997 	  Main1 
went 	 52.88 	 53.12 	 0.23999999999999488 	 0.982 	  Main1 
to 	 53.12 	 53.32 	 0.20000000000000284 	 0.994 	  Main1 
have 	 53.32 	 53.42 	 0.10000000000000142 	 0.971 	  Main1 
her 	 53.42 	 53.58 	 0.1599999999999966 	 0.999 	  Main1 
hair 	 53.58 	 53.78 	 0.20000000000000284 	 0.848 	  Main1 
done. 	 53.78 	 54.1 	 0.3200000000000003 	 0.834 	  Main1 
Remember 	 54.52 	 54.9 	 0.37999999999999545 	 0.986 	  Main1 
to 	 54.9 	 55.1 	 0.20000000000000284 	 0.997 	  Main1 
get 	 55.1 	 55.26 	 0.1599999999999966 	 0.997 	  Main1 
those 	 55.26 	 55.5 	 0.240000000000002 	 0.994 	  Main1 
shoes 	 55.5 	 55.94 	 0.4399999999999977 	 0.992 	  Main1 
while 	 55.94 	 56.24 	 0.30000000000000426 	 0.994 	  Main1 
I'm 	 56.24 	 56.42 	 0.17999999999999972 	 0.987 	  Main1 
having 	 56.42 	 56.66 	 0.23999999999999488 	 0.997 	  Main1 
my 	 56.66 	 56.86 	 0.20000000000000284 	 0.999 	  Main1 
hair 	 56.86 	 57.14 	 0.28000000000000114 	 0.981 	  Main1 
done. 	 57.14 	 57.46 	 0.3200000000000003 	 0.999 	  Main1 
She 	 57.84 	 58.24 	 0.3999999999999986 	 0.923 	  Main1 
said, 	 58.24 	 58.66 	 0.4199999999999946 	 0.998 	  Main1 
I 	 58.76 	 59.1 	 0.3400000000000034 	 0.513 	  Main1 
don't 	 59.1 	 59.36 	 0.259999999999998 	 0.997 	  Main1 
need 	 59.36 	 59.56 	 0.20000000000000284 	 0.989 	  Main1 
those 	 59.56 	 59.76 	 0.19999999999999574 	 0.972 	  Main1 
shoes. 	 59.76 	 60.36 	 0.6000000000000014 	 0.958 	  Main1 
Said 	 60.68 	 60.88 	 0.20000000000000284 	 0.759 	  Main1 
Michael. 	 60.88 	 61.34 	 0.46000000000000085 	 0.984 	  Main1 
She 	 61.64 	 61.84 	 0.20000000000000284 	 0.973 	  Main1 
put 	 61.84 	 62.02 	 0.17999999999999972 	 0.996 	  Main1 
her 	 62.02 	 62.24 	 0.21999999999999886 	 0.999 	  Main1 
mirror 	 62.24 	 62.5 	 0.259999999999998 	 0.979 	  Main1 
back 	 62.5 	 62.86 	 0.35999999999999943 	 0.996 	  Main1 
into 	 62.86 	 63.1 	 0.240000000000002 	 0.994 	  Main1 
her 	 63.1 	 63.32 	 0.21999999999999886 	 0.999 	  Main1 
bag. 	 63.32 	 63.7 	 0.38000000000000256 	 0.995 	  Main1 
We've 	 64.14 	 64.44 	 0.29999999999999716 	 0.871 	  Main1 
been 	 64.44 	 64.58 	 0.14000000000000057 	 0.992 	  Main1 
all 	 64.58 	 64.82 	 0.23999999999999488 	 0.997 	  Main1 
through 	 64.82 	 65.08 	 0.2600000000000051 	 0.963 	  Main1 
that. 	 65.08 	 65.66 	 0.5799999999999983 	 0.981 	  Main1 
She 	 65.8 	 66.14 	 0.3400000000000034 	 0.596 	  Main1 
said, 	 66.14 	 66.7 	 0.5600000000000023 	 0.956 	  Main1 
getting 	 66.9 	 67.14 	 0.23999999999999488 	 0.889 	  Main1 
out 	 67.14 	 67.34 	 0.20000000000000284 	 0.997 	  Main1 
of 	 67.34 	 67.46 	 0.11999999999999034 	 0.996 	  Main1 
the 	 67.46 	 67.6 	 0.14000000000000057 	 0.998 	  Main1 
car. 	 67.6 	 67.94 	 0.3400000000000034 	 0.999 	  Main1 
You're 	 68.28 	 68.56 	 0.28000000000000114 	 0.988 	  Main1 
not 	 68.56 	 68.76 	 0.20000000000000284 	 0.999 	  Main1 
a 	 68.76 	 68.98 	 0.21999999999999886 	 1.0 	  Main1 
young 	 68.98 	 69.2 	 0.21999999999999886 	 0.996 	  Main1 
man 	 69.2 	 69.48 	 0.28000000000000114 	 0.988 	  Main1 
any 	 69.48 	 69.82 	 0.3399999999999892 	 0.962 	  Main1 
longer. 	 69.82 	 70.26 	 0.44000000000001194 	 0.997 	  Main1 
He 	 70.7 	 70.92 	 0.21999999999999886 	 0.646 	  Main1 
raced 	 70.92 	 71.24 	 0.3199999999999932 	 0.811 	  Main1 
the 	 71.24 	 71.42 	 0.18000000000000682 	 0.997 	  Main1 
engine 	 71.42 	 71.7 	 0.28000000000000114 	 0.996 	  Main1 
a 	 71.7 	 71.9 	 0.20000000000000284 	 0.973 	  Main1 
little. 	 71.9 	 72.2 	 0.29999999999999716 	 0.997 	  Main1 
Why 	 72.74 	 72.88 	 0.14000000000000057 	 0.638 	  Main1 
don't 	 72.88 	 73.09 	 0.21000000000000796 	 0.871 	  Main1 
you 	 73.09 	 73.28 	 0.18999999999999773 	 0.999 	  Main1 
wear? 	 73.28 	 73.58 	 0.29999999999999716 	 0.983 	  Main1 
Your 	 74.28 	 74.52 	 0.23999999999999488 	 0.894 	  Main1 
gloves? 	 74.52 	 74.96 	 0.4399999999999977 	 0.994 	  Main1 
Have 	 75.52 	 75.66 	 0.14000000000000057 	 0.985 	  Main1 
you 	 75.66 	 75.82 	 0.1599999999999966 	 0.999 	  Main1 
lost 	 75.82 	 76.18 	 0.36000000000001364 	 0.992 	  Main1 
your 	 76.18 	 76.4 	 0.21999999999999886 	 0.998 	  Main1 
gloves? 	 76.4 	 76.88 	 0.47999999999998977 	 0.998 	  Main1 
Michael 	 77.7 	 78.02 	 0.3199999999999932 	 0.965 	  Main1 
reached 	 78.02 	 78.44 	 0.4200000000000017 	 0.954 	  Main1 
in 	 78.44 	 78.6 	 0.1599999999999966 	 0.869 	  Main1 
a 	 78.6 	 78.74 	 0.14000000000000057 	 0.99 	  Main1 
pocket 	 78.74 	 79.04 	 0.30000000000001137 	 0.984 	  Main1 
and 	 79.04 	 79.34 	 0.29999999999999716 	 0.991 	  Main1 
brought 	 79.34 	 79.56 	 0.21999999999999886 	 0.976 	  Main1 
out 	 79.56 	 79.82 	 0.2599999999999909 	 0.944 	  Main1 
the 	 79.82 	 79.94 	 0.12000000000000455 	 0.828 	  Main1 
gloves. 	 79.94 	 80.36 	 0.4200000000000017 	 0.915 	  Main1 
He 	 80.78 	 80.98 	 0.20000000000000284 	 0.992 	  Main1 
put 	 80.98 	 81.16 	 0.1799999999999926 	 0.984 	  Main1 
them 	 81.16 	 81.34 	 0.18000000000000682 	 0.968 	  Main1 
on, 	 81.34 	 81.7 	 0.35999999999999943 	 0.996 	  Main1 
but 	 81.98 	 82.18 	 0.20000000000000284 	 0.997 	  Main1 
after 	 82.18 	 82.48 	 0.29999999999999716 	 0.997 	  Main1 
she 	 82.48 	 82.64 	 0.1599999999999966 	 0.994 	  Main1 
had 	 82.64 	 82.88 	 0.23999999999999488 	 0.952 	  Main1 
turned 	 82.88 	 83.14 	 0.2600000000000051 	 0.986 	  Main1 
and 	 83.14 	 83.38 	 0.23999999999999488 	 0.995 	  Main1 
gone 	 83.38 	 83.56 	 0.18000000000000682 	 0.985 	  Main1 
into 	 83.56 	 83.78 	 0.21999999999999886 	 0.994 	  Main1 
the 	 83.78 	 83.92 	 0.14000000000000057 	 0.998 	  Main1 
building. 	 83.92 	 84.2 	 0.28000000000000114 	 0.997 	  Main1 
Building 	 86.94 	 87.34 	 0.4000000000000057 	 0.925 	  Main1 
and 	 87.34 	 87.68 	 0.3400000000000034 	 0.883 	  Main1 
he 	 87.68 	 87.86 	 0.1799999999999926 	 0.995 	  Main1 
had 	 87.86 	 88 	 0.14000000000000057 	 0.999 	  Main1 
driven 	 88 	 88.22 	 0.21999999999999886 	 0.993 	  Main1 
on 	 88.22 	 88.5 	 0.28000000000000114 	 0.939 	  Main1 
to 	 88.5 	 88.66 	 0.1599999999999966 	 0.995 	  Main1 
a 	 88.66 	 88.8 	 0.14000000000000057 	 0.983 	  Main1 
red 	 88.8 	 89 	 0.20000000000000284 	 0.982 	  Main1 
light, 	 89 	 89.26 	 0.2600000000000051 	 0.98 	  Main1 
